round,r,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,num_leaves,learning_rate,reg_lambda,reg_alpha,scale_pos_weight,params
0,0.125,0.43599493029150826,0.328,0.38949514208640035,115,0.7,128,0.06233,33.5142,1.8207,4.099,"{""num_leaves"": 128, ""learning_rate"": 0.06233, ""reg_lambda"": 33.5142, ""reg_alpha"": 1.8207, ""scale_pos_weight"": 4.099, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.26058240768537977,0.019891500904159132,0.12864825714533112,13,0.4,512,0.00942,0.0538,2.7622,8.311,"{""num_leaves"": 512, ""learning_rate"": 0.00942, ""reg_lambda"": 0.0538, ""reg_alpha"": 2.7622, ""scale_pos_weight"": 8.311, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4445859872611465,0.3414851044908848,0.3613534928579856,69,1.8,16384,0.03176,68.1796,2.908,7.734,"{""num_leaves"": 16384, ""learning_rate"": 0.03176, ""reg_lambda"": 68.1796, ""reg_alpha"": 2.908, ""scale_pos_weight"": 7.734, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.47065868263473054,0.014047410008779631,0.29355458003707346,67,0.6,512,0.00743,0.0367,2.1794,7.432,"{""num_leaves"": 512, ""learning_rate"": 0.00743, ""reg_lambda"": 0.0367, ""reg_alpha"": 2.1794, ""scale_pos_weight"": 7.432, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46900958466453674,0.0,0.3182556891420636,3,0.5,8192,0.00563,0.3821,2.8578,6.053,"{""num_leaves"": 8192, ""learning_rate"": 0.00563, ""reg_lambda"": 0.3821, ""reg_alpha"": 2.8578, ""scale_pos_weight"": 6.053, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4602346805736636,0.0,0.38702509735892465,74,0.5,1024,0.00618,1.2708,1.8471,1.8,"{""num_leaves"": 1024, ""learning_rate"": 0.00618, ""reg_lambda"": 1.2708, ""reg_alpha"": 1.8471, ""scale_pos_weight"": 1.8, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.3154008438818565,0.21229957377714634,0.24071000070245316,177,1.4,512,0.09395,1.9301,1.0307,7.954,"{""num_leaves"": 512, ""learning_rate"": 0.09395, ""reg_lambda"": 1.9301, ""reg_alpha"": 1.0307, ""scale_pos_weight"": 7.954, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2622678125866371,0.18858954041204437,0.09656139904356623,2,0.4,2048,0.02426,0.19,1.2644,7.053,"{""num_leaves"": 2048, ""learning_rate"": 0.02426, ""reg_lambda"": 0.19, ""reg_alpha"": 1.2644, ""scale_pos_weight"": 7.053, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4417831004657352,0.0,0.3327643395364718,42,1.9,16384,0.0062,2.0453,2.0188,9.662,"{""num_leaves"": 16384, ""learning_rate"": 0.0062, ""reg_lambda"": 2.0453, ""reg_alpha"": 2.0188, ""scale_pos_weight"": 9.662, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4993894993894994,0.2712151113617141,0.40873479356445225,170,0.8,4,0.01778,9.4709,1.2498,4.493,"{""num_leaves"": 4, ""learning_rate"": 0.01778, ""reg_lambda"": 9.4709, ""reg_alpha"": 1.2498, ""scale_pos_weight"": 4.493, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4746177370030581,0.0,0.34187413576541154,107,0.5,4,0.00393,8.008,1.1298,4.556,"{""num_leaves"": 4, ""learning_rate"": 0.00393, ""reg_lambda"": 8.008, ""reg_alpha"": 1.1298, ""scale_pos_weight"": 4.556, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.45787781350482315,0.27983795574945464,0.3784369998508187,144,2.7,16384,0.01616,44.7186,2.4283,9.238,"{""num_leaves"": 16384, ""learning_rate"": 0.01616, ""reg_lambda"": 44.7186, ""reg_alpha"": 2.4283, ""scale_pos_weight"": 9.238, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.27948243992606286,0.0,0.11768614274072663,32,0.8,8192,0.00491,0.0197,1.1078,8.82,"{""num_leaves"": 8192, ""learning_rate"": 0.00491, ""reg_lambda"": 0.0197, ""reg_alpha"": 1.1078, ""scale_pos_weight"": 8.82, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.37904015670910873,0.25253840145795364,0.16652258549382987,15,0.4,1024,0.01757,0.0451,2.1884,3.862,"{""num_leaves"": 1024, ""learning_rate"": 0.01757, ""reg_lambda"": 0.0451, ""reg_alpha"": 2.1884, ""scale_pos_weight"": 3.862, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.3232533889468196,0.2209795603548014,0.19805395123142022,6,0.4,512,0.03684,0.6941,1.8141,8.107,"{""num_leaves"": 512, ""learning_rate"": 0.03684, ""reg_lambda"": 0.6941, ""reg_alpha"": 1.8141, ""scale_pos_weight"": 8.107, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2661907190209077,0.2520261437908497,0.212841900951706,10,0.3,16,0.02334,0.0615,2.5468,5.4,"{""num_leaves"": 16, ""learning_rate"": 0.02334, ""reg_lambda"": 0.0615, ""reg_alpha"": 2.5468, ""scale_pos_weight"": 5.4, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.04219178082191781,0.0953254366384195,1,0.3,4,0.09617,0.0539,3.033,8.208,"{""num_leaves"": 4, ""learning_rate"": 0.09617, ""reg_lambda"": 0.0539, ""reg_alpha"": 3.033, ""scale_pos_weight"": 8.208, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.447242206235012,0.05762109317138202,0.2601276061891524,14,0.5,1024,0.05252,2.5787,2.1429,9.223,"{""num_leaves"": 1024, ""learning_rate"": 0.05252, ""reg_lambda"": 2.5787, ""reg_alpha"": 2.1429, ""scale_pos_weight"": 9.223, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46025641025641023,0.0,0.3496507241177104,140,0.7,128,0.00396,21.8752,1.5743,3.93,"{""num_leaves"": 128, ""learning_rate"": 0.00396, ""reg_lambda"": 21.8752, ""reg_alpha"": 1.5743, ""scale_pos_weight"": 3.93, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.3687089715536105,0.28206850235057085,0.30169892974419427,101,1.0,1024,0.04697,0.8753,1.6485,8.898,"{""num_leaves"": 1024, ""learning_rate"": 0.04697, ""reg_lambda"": 0.8753, ""reg_alpha"": 1.6485, ""scale_pos_weight"": 8.898, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4551901998710509,0.0,0.3257352104034439,31,1.9,16384,0.00427,6.8183,2.4928,8.193,"{""num_leaves"": 16384, ""learning_rate"": 0.00427, ""reg_lambda"": 6.8183, ""reg_alpha"": 2.4928, ""scale_pos_weight"": 8.193, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.18570306362922231,0.11726233659892621,2,0.5,1024,0.04954,0.0797,1.54,4.757,"{""num_leaves"": 1024, ""learning_rate"": 0.04954, ""reg_lambda"": 0.0797, ""reg_alpha"": 1.54, ""scale_pos_weight"": 4.757, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46619446233097234,0.25938009787928223,0.3507723292686393,17,0.4,32,0.02052,0.0282,1.6196,1.003,"{""num_leaves"": 32, ""learning_rate"": 0.02052, ""reg_lambda"": 0.0282, ""reg_alpha"": 1.6196, ""scale_pos_weight"": 1.003, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2411302982731554,0.17342183307442452,0.10336140558385745,2,0.4,128,0.05995,0.036,2.2639,8.39,"{""num_leaves"": 128, ""learning_rate"": 0.05995, ""reg_lambda"": 0.036, ""reg_alpha"": 2.2639, ""scale_pos_weight"": 8.39, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4776839565741858,0.2581529186078378,0.38551665606681484,36,0.6,2048,0.09392,23.7226,1.6512,9.817,"{""num_leaves"": 2048, ""learning_rate"": 0.09392, ""reg_lambda"": 23.7226, ""reg_alpha"": 1.6512, ""scale_pos_weight"": 9.817, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46078431372549017,0.0,0.34952537614832274,13,0.4,1024,0.01801,10.3225,2.8693,5.285,"{""num_leaves"": 1024, ""learning_rate"": 0.01801, ""reg_lambda"": 10.3225, ""reg_alpha"": 2.8693, ""scale_pos_weight"": 5.285, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.44841269841269843,0.2379436964504284,0.34003091721143563,40,2.3,16384,0.06247,6.4014,1.4257,7.909,"{""num_leaves"": 16384, ""learning_rate"": 0.06247, ""reg_lambda"": 6.4014, ""reg_alpha"": 1.4257, ""scale_pos_weight"": 7.909, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.33528550512445093,0.0,0.264633841277479,4,0.4,512,0.00437,0.3677,1.1121,5.286,"{""num_leaves"": 512, ""learning_rate"": 0.00437, ""reg_lambda"": 0.3677, ""reg_alpha"": 1.1121, ""scale_pos_weight"": 5.286, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.42857142857142855,0.0,0.320455320524222,7,0.3,256,0.01389,0.4954,1.9828,2.104,"{""num_leaves"": 256, ""learning_rate"": 0.01389, ""reg_lambda"": 0.4954, ""reg_alpha"": 1.9828, ""scale_pos_weight"": 2.104, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4544319600499376,0.2704646017699115,0.3771354009952858,104,0.8,32,0.03358,19.7299,2.8147,6.25,"{""num_leaves"": 32, ""learning_rate"": 0.03358, ""reg_lambda"": 19.7299, ""reg_alpha"": 2.8147, ""scale_pos_weight"": 6.25, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4561178731582319,0.0,0.32321322627422944,36,1.9,16384,0.00363,7.0137,1.9446,8.434,"{""num_leaves"": 16384, ""learning_rate"": 0.00363, ""reg_lambda"": 7.0137, ""reg_alpha"": 1.9446, ""scale_pos_weight"": 8.434, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4693745970341715,0.0,0.3813934209987127,63,0.8,4096,0.05246,97.2839,1.5197,2.539,"{""num_leaves"": 4096, ""learning_rate"": 0.05246, ""reg_lambda"": 97.2839, ""reg_alpha"": 1.5197, ""scale_pos_weight"": 2.539, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4579858883899936,0.0,0.3317240743876028,22,0.4,256,0.01223,10.2849,1.6797,6.295,"{""num_leaves"": 256, ""learning_rate"": 0.01223, ""reg_lambda"": 10.2849, ""reg_alpha"": 1.6797, ""scale_pos_weight"": 6.295, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.14610161554671036,0.10433086469957426,1,0.4,2048,0.03883,0.1319,1.2688,8.767,"{""num_leaves"": 2048, ""learning_rate"": 0.03883, ""reg_lambda"": 0.1319, ""reg_alpha"": 1.2688, ""scale_pos_weight"": 8.767, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.5153801508995938,0.5140515222482436,0.4160458803616245,94,0.5,4,0.02221,0.867,2.8211,1.774,"{""num_leaves"": 4, ""learning_rate"": 0.02221, ""reg_lambda"": 0.867, ""reg_alpha"": 2.8211, ""scale_pos_weight"": 1.774, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
