round,r,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,max_depth,learning_rate,reg_lambda,scale_pos_weight,colsample_bytree,subsample,params
0,0.125,0.36069502696225286,0.0,0.280035061768845,11,0.5,13,0.00396,21.8752,4.436,0.663,0.997,"{""max_depth"": 13, ""learning_rate"": 0.00396, ""reg_lambda"": 21.8752, ""scale_pos_weight"": 4.436, ""colsample_bytree"": 0.663, ""subsample"": 0.997, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.453153704837722,0.0,0.37908421134899434,15,0.4,6,0.01692,0.4904,8.898,0.543,0.854,"{""max_depth"": 6, ""learning_rate"": 0.01692, ""reg_lambda"": 0.4904, ""scale_pos_weight"": 8.898, ""colsample_bytree"": 0.543, ""subsample"": 0.854, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.504268639726807,0.0,0.35932602154768034,13,0.5,12,0.04828,15.7321,3.901,0.898,0.613,"{""max_depth"": 12, ""learning_rate"": 0.04828, ""reg_lambda"": 15.7321, ""scale_pos_weight"": 3.901, ""colsample_bytree"": 0.898, ""subsample"": 0.613, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4882175226586103,0.0,0.29819861845518914,9,0.4,7,0.01337,1.4643,2.014,0.703,0.5,"{""max_depth"": 7, ""learning_rate"": 0.01337, ""reg_lambda"": 1.4643, ""scale_pos_weight"": 2.014, ""colsample_bytree"": 0.703, ""subsample"": 0.5, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4880095923261391,0.0,0.3578847143044673,23,0.5,6,0.04136,25.5566,2.25,0.852,0.911,"{""max_depth"": 6, ""learning_rate"": 0.04136, ""reg_lambda"": 25.5566, ""scale_pos_weight"": 2.25, ""colsample_bytree"": 0.852, ""subsample"": 0.911, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4797583081570997,0.2725403817914831,0.3331901526215112,96,0.9,1,0.0583,0.4971,9.817,0.987,0.752,"{""max_depth"": 1, ""learning_rate"": 0.0583, ""reg_lambda"": 0.4971, ""scale_pos_weight"": 9.817, ""colsample_bytree"": 0.987, ""subsample"": 0.752, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.40896358543417366,0.0,0.33902870743383046,23,0.6,15,0.04267,45.2221,5.285,0.932,0.851,"{""max_depth"": 15, ""learning_rate"": 0.04267, ""reg_lambda"": 45.2221, ""scale_pos_weight"": 5.285, ""colsample_bytree"": 0.932, ""subsample"": 0.851, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.49763593380614657,0.0,0.3562544875454041,9,0.5,14,0.04482,1.9175,1.845,0.696,0.537,"{""max_depth"": 14, ""learning_rate"": 0.04482, ""reg_lambda"": 1.9175, ""scale_pos_weight"": 1.845, ""colsample_bytree"": 0.696, ""subsample"": 0.537, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.5193929173693086,0.0,0.37658039508631863,7,0.3,5,0.01638,0.5178,4.814,0.793,0.561,"{""max_depth"": 5, ""learning_rate"": 0.01638, ""reg_lambda"": 0.5178, ""scale_pos_weight"": 4.814, ""colsample_bytree"": 0.793, ""subsample"": 0.561, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.44745325596389424,0.44605263157894737,0.38481966160272263,29,0.5,5,0.03358,19.7299,9.071,0.792,0.52,"{""max_depth"": 5, ""learning_rate"": 0.03358, ""reg_lambda"": 19.7299, ""scale_pos_weight"": 9.071, ""colsample_bytree"": 0.792, ""subsample"": 0.52, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.46990291262135925,0.3555363321799308,0.36920053857983925,30,0.7,15,0.03692,1.8884,8.434,0.766,0.907,"{""max_depth"": 15, ""learning_rate"": 0.03692, ""reg_lambda"": 1.8884, ""scale_pos_weight"": 8.434, ""colsample_bytree"": 0.766, ""subsample"": 0.907, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.5136866627839255,0.0,0.389371289218477,7,0.4,8,0.01061,0.0483,4.525,0.877,0.72,"{""max_depth"": 8, ""learning_rate"": 0.01061, ""reg_lambda"": 0.0483, ""scale_pos_weight"": 4.525, ""colsample_bytree"": 0.877, ""subsample"": 0.72, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.3039106145251397,0.0,0.15537634527641775,5,0.5,15,0.02413,0.0323,7.535,0.64,0.595,"{""max_depth"": 15, ""learning_rate"": 0.02413, ""reg_lambda"": 0.0323, ""scale_pos_weight"": 7.535, ""colsample_bytree"": 0.64, ""subsample"": 0.595, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.42020948860135554,0.38997214484679665,0.37248356119169573,61,1.0,15,0.02221,0.867,9.089,0.543,0.848,"{""max_depth"": 15, ""learning_rate"": 0.02221, ""reg_lambda"": 0.867, ""scale_pos_weight"": 9.089, ""colsample_bytree"": 0.543, ""subsample"": 0.848, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.49399038461538464,0.0,0.37766132156906423,8,0.5,13,0.00982,0.0503,7.073,0.681,0.665,"{""max_depth"": 13, ""learning_rate"": 0.00982, ""reg_lambda"": 0.0503, ""scale_pos_weight"": 7.073, ""colsample_bytree"": 0.681, ""subsample"": 0.665, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4717101080737444,0.0,0.3404281571825881,7,0.4,10,0.00629,1.1187,1.216,0.582,0.942,"{""max_depth"": 10, ""learning_rate"": 0.00629, ""reg_lambda"": 1.1187, ""scale_pos_weight"": 1.216, ""colsample_bytree"": 0.582, ""subsample"": 0.942, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4924379915305505,0.0,0.35076797265129855,8,0.4,15,0.04829,1.6879,3.002,0.779,0.506,"{""max_depth"": 15, ""learning_rate"": 0.04829, ""reg_lambda"": 1.6879, ""scale_pos_weight"": 3.002, ""colsample_bytree"": 0.779, ""subsample"": 0.506, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.300327868852459,0.0,0.24149306583187877,12,0.3,3,0.03759,3.8387,6.502,0.537,0.623,"{""max_depth"": 3, ""learning_rate"": 0.03759, ""reg_lambda"": 3.8387, ""scale_pos_weight"": 6.502, ""colsample_bytree"": 0.537, ""subsample"": 0.623, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
