model,split,time,f1_minority,f1@0.5,precision,recall,pr_auc,recall@fpr1%,precision@1000,threshold,n,n_pos,seed,train_time_s,stage,params
edge_scalar_xgb,val,2026-08-18T07:11:27,0.6089049338146811,0.4962302947224126,0.8724137931034482,0.4676524953789279,0.5741756298460859,0.788354898336414,0.579,0.29530829191207886,1015602,1082,3,12.9,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 3, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_xgb,test,2026-08-18T07:11:28,0.6721877156659766,0.5448085274378207,0.8854545454545455,0.5417130144605117,0.6560673853999707,0.8064516129032258,0.911,0.29530829191207886,1015882,1798,3,12.9,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 3, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_emb_lgb,val,2026-08-18T07:12:49,0.623768115942029,0.5581395348837209,0.8367029548989113,0.49722735674676527,0.5936872977808071,0.8068391866913124,0.602,0.21779171902360808,1015602,1082,0,62.6,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 122, ""train_rows"": 2535504}"
edge_emb_lgb,test,2026-08-18T07:12:50,0.6908619572261827,0.6303558460421206,0.827639751552795,0.592880978865406,0.6876460113343443,0.8681868743047831,0.905,0.21779171902360808,1015882,1798,0,62.6,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 122, ""train_rows"": 2535504}"
edge_emb_xgb,val,2026-08-18T07:13:48,0.638840579710145,0.5769230769230769,0.8569206842923794,0.5092421441774492,0.6107119113706336,0.8308687615526802,0.606,0.1888728141784668,1015602,1082,0,55.8,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 122, ""train_rows"": 2535504}"
edge_emb_xgb,test,2026-08-18T07:13:48,0.69804441498177,0.6477644492911668,0.8638228055783429,0.585650723025584,0.7104116654427776,0.8731924360400445,0.926,0.1888728141784668,1015882,1798,0,55.8,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 122, ""train_rows"": 2535504}"
edge+scalar_lgb,val,2026-08-18T07:14:55,0.6343195266272189,0.5865139949109415,0.881578947368421,0.4953789279112754,0.5921405237260737,0.8068391866913124,0.589,0.2649418498975178,1015602,1082,0,59.8,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 125, ""train_rows"": 2535504}"
edge+scalar_lgb,test,2026-08-18T07:14:56,0.6957396846695739,0.653002517080187,0.8765849535080305,0.5767519466073415,0.6905179642577443,0.8620689655172413,0.923,0.2649418498975178,1015882,1798,0,59.8,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 125, ""train_rows"": 2535504}"
edge+scalar_xgb,val,2026-08-18T07:15:58,0.6356132075471698,0.5882352941176471,0.8778501628664495,0.49815157116451014,0.6088456836955091,0.8280961182994455,0.604,0.19618332386016846,1015602,1082,0,59.6,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 125, ""train_rows"": 2535504}"
edge+scalar_xgb,test,2026-08-18T07:15:58,0.6854977609369618,0.6375641966250917,0.9004524886877828,0.553392658509455,0.7051611940933439,0.8726362625139044,0.927,0.19618332386016846,1015882,1798,0,59.6,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 125, ""train_rows"": 2535504}"
